author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
НовоселИнвестСтрой;real_estate_agent;https://kazan.cian.ru/sale/flat/299052324/;Казань;sale;flat;10;10;2;50.0;7499000;Ново-Савиновский;Чистопольская ;51;Козья слобода;
Унистрой;developer;https://kazan.cian.ru/sale/flat/304068389/;Казань;sale;flat;16;26;1;41.11;12310000;Советский;;;Горки;Уникум на Проспекте Победы
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/299575189/;Казань;sale;flat;1;11;2;51.4;7900000;Советский; Азата Аббасова;21А;Проспект Победы;Весна 2
ID 75313127;developer;https://kazan.cian.ru/sale/flat/296263723/;Казань;sale;flat;12;15;2;61.4;9390000;Авиастроительный;;;Северный Вокзал;Династия ЖК
Унистрой;developer;https://kazan.cian.ru/sale/flat/304068476/;Казань;sale;flat;11;26;2;70.9;14690000;Советский;;;Горки;Уникум на Проспекте Победы
ID 45864839;unknown;https://kazan.cian.ru/sale/flat/303548902/;Казань;sale;flat;2;2;1;34.0;5100000;Ново-Савиновский; Гагарина;10а;Северный Вокзал;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/296263814/;Казань;sale;flat;10;15;1;42.4;7970000;Авиастроительный;;;Северный Вокзал;Династия ЖК
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/299575184/;Казань;sale;flat;1;5;2;44.0;5200000;Московский; Химиков;51;Авиастроительная;
ID 75313127;developer;https://kazan.cian.ru/sale/flat/296263998/;Казань;sale;flat;9;15;1;41.09;7790000;Авиастроительный; Михаила Миля;3;Северный Вокзал;Династия
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/294051815/;Казань;sale;flat;3;5;2;43.5;5200000;Кировский;Светлая ;24;Северный Вокзал;
Унистрой;developer;https://kazan.cian.ru/sale/flat/304068651/;Казань;sale;flat;2;26;2;57.67;11940000;Советский;;;Горки;Уникум на Проспекте Победы
Монолит-Казань;real_estate_agent;https://kazan.cian.ru/sale/flat/300620910/;Казань;sale;flat;3;5;1;33.5;5330000;Московский; Блюхера;79;Яшьлек;
Унистрой;developer;https://kazan.cian.ru/sale/flat/304068730/;Казань;sale;flat;4;26;1;44.69;10350000;Советский;;;Горки;Уникум на Проспекте Победы
Премьер;real_estate_agent;https://kazan.cian.ru/sale/flat/297939140/;Казань;sale;flat;3;5;1;32.3;5500000;Приволжский; Халева;3;Аметьево;
Аркада;developer;https://kazan.cian.ru/sale/flat/296185889/;Казань;sale;flat;4;5;2;51.94;17837961;Вахитовский; Рустема Яхина;;Кремлёвская;Резиденция МОН на Чернышевского
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/296359481/;Казань;sale;flat;5;16;1;25.0;5700000;Приволжский;Ферма-2 жилмассив;;Горки;Фермаполис
Аркада;developer;https://kazan.cian.ru/sale/flat/296185867/;Казань;sale;flat;4;4;1;40.79;15450762;Вахитовский; Рустема Яхина;;Кремлёвская;Резиденция МОН на Чернышевского
Самолет Плюс Казань Центральный;real_estate_agent;https://kazan.cian.ru/sale/flat/300147094/;Казань;sale;flat;2;5;1;31.7;5700000;Ново-Савиновский; Фатыха Амирхана;53;Яшьлек;
Суварстроит;developer;https://kazan.cian.ru/sale/flat/302779281/;Казань;sale;flat;1;5;2;66.15;9776000;Приволжский;;;Дубравная;Времена года ЖК
Аркада;developer;https://kazan.cian.ru/sale/flat/298483349/;Казань;sale;flat;5;5;2;53.36;18864627;Вахитовский; Рустема Яхина;;Кремлёвская;Резиденция МОН на Чернышевского
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/280080077/;Казань;sale;flat;9;19;1;33.6;5750000;Приволжский;проезд Детский;5;Проспект Победы;
Держава;developer;https://kazan.cian.ru/sale/flat/299848605/;Казань;sale;flat;9;22;1;26.45;7327893;Приволжский;Экопарк Дубрава мкр;;Дубравная;Дубрава 2.0 ЖК
Держава;developer;https://kazan.cian.ru/sale/flat/287860934/;Казань;sale;flat;2;22;1;39.17;9173105;Приволжский;Экопарк Дубрава мкр;;Дубравная;Дубрава 2.0 ЖК
ID 18498826;unknown;https://kazan.cian.ru/sale/flat/303749758/;Казань;sale;flat;10;10;1;35.5;5800000;Советский;Минская ;44;Горки;
Суварстроит;developer;https://kazan.cian.ru/sale/flat/298326243/;Казань;sale;flat;2;5;1;56.34;9930000;Приволжский;;;Дубравная;Времена года ЖК
Аркада;developer;https://kazan.cian.ru/sale/flat/296185897/;Казань;sale;flat;4;4;1;41.52;15727277;Вахитовский; Рустема Яхина;5;Кремлёвская;Резиденция МОН на Чернышевского
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/304844115/;Казань;sale;flat;2;20;2;43.6;6090000;Приволжский; Ярышлар;2;Дубравная;
Кронасервис;developer;https://kazan.cian.ru/sale/flat/303265040/;Казань;sale;flat;4;4;2;73.4;21194250;Вахитовский;Московская ;;Кремлёвская;Трио
Тэкоресурс;representative_developer;https://kazan.cian.ru/sale/flat/289324294/;Казань;sale;flat;2;4;1;51.3;15338700;Вахитовский; Нариманова;68;Площадь Тукая;Hayat
ЭТАЖИ КАЗАНЬ;real_estate_agent;https://kazan.cian.ru/sale/flat/294051835/;Казань;sale;flat;28;40;2;129.1;29900000;Советский;проспект Альберта Камалеева;1;Суконная слобода;Лазурные небеса
РАДИАНТ;developer;https://kazan.cian.ru/sale/flat/303863644/;Казань;sale;flat;9;10;1;36.13;8851850;Приволжский; Кул Гали;29;Дубравная;Изумрудный
Премьер;real_estate_agent;https://kazan.cian.ru/sale/flat/292537304/;Казань;sale;flat;5;22;2;57.5;13500000;Ново-Савиновский;Чистопольская ;86/10;Козья слобода;Столичный
Снегири;developer;https://kazan.cian.ru/sale/flat/293591413/;Казань;sale;flat;6;11;2;85.1;15753000;Кировский;Луговая ;52;Яшьлек;Снегири
Самолет Плюс Казань Центральный;real_estate_agent;https://kazan.cian.ru/sale/flat/300095025/;Казань;sale;flat;1;9;1;20.5;3700000;Авиастроительный; Айдарова;24;Авиастроительная;
Тэкоресурс;developer;https://kazan.cian.ru/sale/flat/301955295/;Казань;sale;flat;4;4;1;30.07;10524500;Вахитовский; Гаяза Исхаки;;Кремлёвская;Светский
Эльмира Нейкович;realtor;https://kazan.cian.ru/sale/flat/304684539/;Казань;sale;flat;1;16;1;43.3;7100000;Советский; Хайдара Бигичева;29;Горки;
Снегири;developer;https://kazan.cian.ru/sale/flat/293591481/;Казань;sale;flat;6;11;1;53.04;9919000;Кировский;Луговая ;52;Яшьлек;Снегири
Самолет Плюс Казань Центральный;real_estate_agent;https://kazan.cian.ru/sale/flat/302739958/;Казань;sale;flat;7;10;2;60.8;10900000;Советский; Фикрята Табеева;3;Дубравная;Весна
РАДИАНТ;developer;https://kazan.cian.ru/sale/flat/297849992/;Казань;sale;flat;2;10;2;51.8;10878000;Приволжский; Кул Гали;29;Дубравная;Изумрудный
